region,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Africa,83009.0,126674.0,188009.0,334321.0,407212.0,726462.0,1098138.0,1671886.0,2307702.0,3082333.0,4417563.0,6277773.0,8726097.0,11649498.0,15026512.0
Americas,2345564.0,2590767.0,5569642.0,6527300.0,8151733.0,10497517.0,13047406.0,15104082.0,17389009.0,19189483.0,22534894.0,27956817.0,34876149.0,40486108.0,45323696.0
Asia,1446303.0,2027508.0,3628145.0,5280615.0,7625798.0,10903314.0,14499511.0,18498034.0,22604234.0,28532377.0,36878498.0,48579530.0,61478838.0,73370825.0,86100444.0
Europe,1701061.0,2222161.0,3162582.0,4291780.0,6015940.0,8341771.0,10071336.0,11396450.0,13515274.0,16659933.0,20056030.0,23708620.0,26858484.0,29963424.0,33196488.0
Oceania,71136.0,92117.0,121158.0,178278.0,259090.0,343440.0,423013.0,485212.0,619986.0,886457.0,1140049.0,1412342.0,1585067.0,1814628.0,2117946.0
